0,PS No & Name,Address,Lattitute & Logitude
1,1 - Redgaon Bk. ,"Zilla Parishad Primary School, Room No.2 from south ,Redgaon Bk ","20°13'06.7""N 74°05'33.0""E"
2,2 - Gorthan ,"Zilla Parishad Primary School, New North- South Building, Room No.1 from South, Gorthan ","20°12'20.4""N 74°03'56.6""E"
3,3 - Shirwade Vani ,"Zilla Parishad Primary School, Room No.1 from North, Shirvadevani ","20°12'55.3""N 74°03'00.5""E"
4,4 - Shirwade Vani ,"Zilla Parishad Primary School, Room No.4 from North, Shirvadevani ","20°12'55.3""N 74°03'00.5""E"
5,5 - Shirwade Vani ,"Zilla Parishad Primary School, Room No.5 from North, Shirvadevani ","20°12'55.3""N 74°03'00.5""E"
6,6 - Pachore Vani ,"Zilla Parishad Primary School, Room No.1 from South, Pachorevani ","20°12'10.3""N 74°01'23.0""E"
7,7 - Pachore Vani ,"Zilla Parishad Primary School, Room No.3 from South, Pachorevani ","20°12'10.3""N 74°01'23.0""E"
8,8 - Mukhed ,"Zilla Parishad Primary School, New Building, Pimpalgaon-Mukhed Road, Room No.1 from North, Mukhed ","20°12'36.8""N 73°58'48.9""E"
9,9 - Mukhed ,"Zilla Parishad Primary School, New Building, Pimpalgaon-Mukhed Road, Hexagonal Separate Room,Mukhed ","20°12'36.8""N 73°58'48.9""E"
10,10 - Antarweli ,"Zilla Parishad Primary School, Room No.1, from East, Anterveli ","20°12'16.6""N 73°58'19.7""E"
11,11 - Wavi ,"Zilla Parishad Primary School, East West Building Room No.3 From East Side, Wavi ","20°12'11.8""N 74°04'47.5""E"
12,12 - Wavi ,"Zilla Parishad Primary School, East West Building Room No.5 From East Side, Wavi ","20°12'11.8""N 74°04'47.5""E"
13,13 - Nandur Khurd ,"Zilla Parishad Primary School, Room No.3 from South, Nandur khurd ","20°12'36.4""N 74°06'21.5""E"
14,14 - Sawargaon ,"Zilla Parishad Primary School,East-West Buliding, Room No.2 from east, Sawargaon ","20°11'41.0""N 74°06'59.6""E"
15,15 - Sawargaon ,"Zilla Parishad Primary School,East-West Buliding, Room No.4 from east, Sawargaon ","20°11'41.0""N 74°06'59.6""E"
16,16 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.1 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
17,17 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.3 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
18,18 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.5 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
19,19 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.6 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
20,20 - Ahergaon ,"Zilla Parishad Primary School, Room No.2 From North Side, Ahergaon ","20°10'46.7""N 74°01'16.4""E"
21,21 - Ahergaon ,"Zilla Parishad Primary School, Room No.6 from North, Ahergaon ","20°10'46.7""N 74°01'16.4""E"
22,22 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. East Wing, Room No.3 From South Pimpalgaon B. ","20°09'58.5""N 73°59'17.2""E"
23,23 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. West Wing, Room No.2 From South Pimpalgaon B. ","20°09'58.5""N 73°59'17.2""E"
24,24 - Pimpalgaon (B.) ,"Zilla parishad primary School opp. Govt. Hospital Building No.1, East Side south-North Building Room No. 4 from South, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
25,25 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.5 from South, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
26,26 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.3 from North, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
27,27 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.1 from North, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
28,28 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.2, North Side East-West Building, Room No.2 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
29,29 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. South Wing, Near Porch, Room No.1 From West","20°09'58.5""N 73°59'17.2""E"
30,30 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. South Wing, Near Porch, Room No.1 From East","20°09'58.5""N 73°59'17.2""E"
31,31 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.4 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
32,32 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.6 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
33,33 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.8 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
34,34 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt.Hospital, Building No.3, South Side East-West Building, Room No.1 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
35,35 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt.Hospital, Building No.3, South Side East-West Building, Room No.3 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
36,36 - Pimpalgaon (B.) ,"Janta Vidyalaya, Adarsh Shishu Vihar, Room No.1 from South, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
37,37 - Pimpalgaon (B.) ,"Janta Vidyalaya, Adarsh Shishu Vihar, Room No.2 from South, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
38,38 - Pimpalgaon (B.) ,"Janta Vidyalaya , Room No.1 from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
39,39 - Pimpalgaon (B.) ,"Janta Vidyalaya , Room No.2 from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
40,40 - Pimpalgaon (B.) ,"Janata Vidhyalay, Room No.3 from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
41,41 - Pimpalgaon (B.) ,"Janata Vidyalay, Room No.5, from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
42,42 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Sainagar, Chinchkhed road, Pimpalgaon B, East Side RCC Building, Room No.1 From East, Pimpalgaon (B) ","20°09'59.5""N 73°59'18.2""E"
43,43 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Sainagar, Chinchkhed road, Pimpalgaon B, East Side RCC Building, Room No.3 From East, Pimpalgaon (B) ","20°09'59.5""N 73°59'18.2""E"
44,44 - Pimpalgaon (B.) ,"Janata Vidhyalay, Pimpalgaon B., Adarsh Shishu Vihar, Room No.2 from East, Pimpalgaon (B) ","20°09'56.5""N 73°59'04.6""E"
45,45 - Pimpalgaon (B.) ,"Pimpalgaon Highschool, Room No.1 from North Pimpalgaon (B) ","20°10'07.3""N 73°59'23.9""E"
46,46 - Pimpalgaon (B.) ,"Pimpalgaon Highschool, Room No. 3 from North, Pimpalgaon (B) ","20°10'07.3""N 73°59'23.9""E"
47,47 - Pimpalgaon (B.) ,"Pimpalgaon Highschool, Room No.4 From North Side Pimpalgaon (B) ","20°10'07.3""N 73°59'23.9""E"
48,48 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Devicha Matha, Room No.1 from East, Pimpalgaon (B) ","20°10'05.5""N 73°59'22.2""E"
49,49 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Devicha Matha, Room No.2 from East, Pimpalgaon (B) ","20°10'05.5""N 73°59'22.2""E"
50,50 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Devicha Matha, Room No.3 from East, Pimpalgaon (B) ","20°10'05.5""N 73°59'22.2""E"
51,51 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Devicha Matha, Room No.4 from East, Pimpalgaon (B) ","20°10'05.5""N 73°59'22.2""E"
52,52 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Devicha Matha, Room No.2 from West, Pimpalgaon (B) ","20°10'05.5""N 73°59'22.2""E"
53,53 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Devicha Matha, Room No.1 from West, Pimpalgaon (B) ","20°10'05.5""N 73°59'22.2""E"
54,54 - Lonwadi ,"Zilla Parishad Primary School South Side Building, Room No.1 form east Lonvadi ","20°09'46.2""N 74°01'32.6""E"
55,55 - Lonwadi ,"Zilla Parishad Primary Vidyamandir, Lonwadi, North Side East-West Building, Room No.1, from east,Lonwadi ","20°09'44.2""N 74°01'30.6""E"
56,56 - Umbarkhed ,"Zilla Parishad Primary School, Umberkhed (New Building), East Side Heyagonal Saperate Room,  Umbarkhed ","20°09'41.3""N 73°57'13.2""E"
57,57 - Umbarkhed ,"Zilla Parishad Primary School, West Side Building , Room No.2 from South Side, Umbarkhed ","20°09'41.3""N 73°57'13.2""E"
58,58 - Umbarkhed ,"Zilla Parishad Primary School, (New Building) Heyagonal Saperate Room from West, Umberkhed ","20°09'41.3""N 73°57'13.2""E"
59,59 - Kumbhari ,"Zilla Parishad Primary School, Room No.1 from east, Kumbhari ","20°09'46.2""N 74°04'21.3""E"
60,60 - Kumbhari ,"Zilla Parishad Primary School, Room No.3 from east, Kumbhari ","20°09'46.2""N 74°04'21.3""E"
61,61 - Ranwad ,"Zilla Parishad Primary School, South Side Buliding,Room No.1,form East,Ranwad ","20°10'23.0""N 74°06'43.2""E"
62,62 - Ranwad ,"Zilla Parishad Primary School, North Side Buliding,Room No.2,form East,Ranwad ","20°10'23.0""N 74°06'43.2""E"
63,63 - Ranwad (S.F.) ,"Shri Chatrapati Shivaji Maharaj Secondry and High, Secondry School, Room No 2 form South, Kakasaheb Nagar, Ranwad (S.F.) ","20°09'43.0""N 74°09'12.3""E"
64,64 - Panchkeshwar ,"Zilla Parishad Primary School, Room No.2 form South, Panchakeshewar ","20°08'32.8""N 74°04'57.2""E"
65,65 - Dawachwadi ,"Zilla Parishad Primary School, Room No.1 From West, Davachwadi ","20°08'36.7""N 74°03'18.1""E"
66,66 - Dawachwadi ,"Zilla Parishad Primary School, Room No.3 from West, Davachwadi ","20°08'36.7""N 74°03'18.1""E"
67,67 - Karsul ,"Zilla Parishad Primary School, East-West Building, Room No.2 from East, Kalsul ","20°08'31.9""N 74°01'49.5""E"
68,68 - Karsul ,"Zilla Parishad Primary School, East-West Building, Room No.2 from West, Kalsul ","20°08'31.9""N 74°01'49.5""E"
69,69 - Narayan Tembhi ,"Zilla Parishad Primary School, North-South Building, Room No.1 from North, Narayan Tembhi ","20°08'30.3""N 74°01'33.6""E"
70,70 - Behed ,"Zilla Parishad Primary School, South side New Buliding Room No.1 from south, Behed ","20°09'17.1""N 73°59'52.8""E"
71,71 - Behed ,"Zilla Parishad Primary School, West Side Building , Room No.1 from South Side Behed ","20°09'17.1""N 73°59'52.8""E"
72,72 - Sakore ,"Zilla Parishad Primary School, For West side Building, Room No.1 From North, Sakore ","20°08'52.1""N 73°56'26.8""E"
73,73 - Sakore ,"Zilla Parishad Primary School, for East side Building, Room No.1 From North, Sakore ","20°08'52.1""N 73°56'26.8""E"
74,74 - Sakore ,"Zilla Parishad Primary School, South Side Building, Room No.2 From East, Sakore ","20°08'52.1""N 73°56'26.8""E"
75,75 - Kokangaon ,"Z.P. School, Kokangaon, West Side New Building, Room No.2 From North, Sakore ","20°09'34.8""N 73°58'40.5""E"
76,76 - Kokangaon ,"Z.P. School, Kokangaon, West Side New Building, Room No.3 From North, Sakore ","20°09'34.8""N 73°58'40.5""E"
77,77 - Kokangaon ,"Z.P. School, Kokangaon, West Side New Building, Room No.2 From South, Sakore ","20°09'34.8""N 73°58'40.5""E"
78,78 - Shirasgaon ,"Zilla Parishad Primary School,,West side Building, Room No.3 from south, Shirasgaon ","20°08'10.6""N 73°59'04.0""E"
79,79 - Shirasgaon ,"Zilla Parishad Primary School,,West side Building, Room No.5 from south, Shirasgaon ","20°08'10.6""N 73°59'04.0""E"
80,80 - Vadali Najik ,Zilla Parishad Primary school Room No.2 from West Vadalinajik ,"20°07'43.8""N 74°01'24.2""E"
81,81 - Vadali Najik ,"Zilla Parishad primary School Room No.4 from West, Vadalinajik ","20°07'43.8""N 74°01'24.2""E"
82,82 - Raulas ,"Zilla Parishad School, Room No.1 From West Side, Raulas ","20°06'16.8""N 74°03'56.9""E"
83,83 - Raulas ,"Zilla Parishad School, Room No.3 From West Side, Raulas ","20°06'16.8""N 74°03'56.9""E"
84,84 - Deopur ,"Zilla Parishad Primary School, Room No.2 from South, Deopur ","20°08'01.3""N 74°04'43.9""E"
85,85 - Nandurdi ,"Zilla Parishad Primary School, Room No.2 from East, Nandurdi ","20°08'11.4""N 74°06'14.2""E"
86,86 - Nandurdi ,"Zilla Parishad Primary School, Room No.4 from East, Nandurdi ","20°08'11.4""N 74°06'14.2""E"
87,87 - Nandurdi ,"Zilla Parishad Primary School, Room No.4 from South, Nandurdi ","20°08'11.4""N 74°06'14.2""E"
88,88 - Nandurdi ,"Zilla Parishad Primary School, Room No.2 from South, Nandurdi ","20°08'11.4""N 74°06'14.2""E"
89,89 - Khede ,"Zilla Parishad Primary School, Room No.1 from West, Khede ","20°05'05.8""N 74°06'24.5""E"
90,90 - Khede ,"Zilla Parishad Primary School, Room No.3 from West, Khede ","20°05'05.8""N 74°06'24.5""E"
91,91 - Ugaon ,"Zilla Parishad School, Room No.2 from North, Ugaon ","20°07'51.6""N 74°07'40.5""E"
92,92 - Ugaon ,"Zilla Parishad School, Room No.4 from North, Ugaon ","20°07'51.6""N 74°07'40.5""E"
93,93 - Ugaon ,Chhatrapati Shivaji High School & Dinkarrao Pangavane Jr.College Room No.4 From South side Ugaon ,"20°07'57.7""N 74°07'56.7""E"
94,94 - Ugaon ,Chhatrapati Shivaji High School & Dinkarrao Pangavane Jr.College Room No.8 From South side Ugaon ,"20°07'57.7""N 74°07'56.7""E"
95,95 - Shiwdi ,"Zilla Parishad Primary School, North-South Building, Room No.1 from North Shivadi ","20°07'12.3""N 74°07'24.4""E"
96,96 - Shiwdi ,"Zilla Parishad Primary School, North-South Building, Room No.4 from North Shivadi ","20°07'12.3""N 74°07'24.4""E"
97,97 - Kundewadi ,"Zilla Parishad School, Room No.4 from East ( East -west Building), Kundewadi ","20°05'52.8""N 74°04'37.8""E"
98,98 - Kundewadi ,"Zilla Parishad School, (South - North Building) Room No.1 from South, Kundewadi ","20°05'52.8""N 74°04'37.8""E"
99,99 - Pimpri ,"Zilla Parishad School, Room No.4 from West, Pimpri ","20°09'17.1""N 73°59'43.5""E"
100,100 - Pimpri ,"Zilla Parishad School, Room No.6 from West, Pimpri ","20°09'17.1""N 73°59'43.5""E"
101,101 - Kasabe Sukene ,"Zilla Parishad Marathi Boys School, west Building, Room No.1 from south Side, Kasabe Sukene ","20°05'38.7""N 74°00'36.8""E"
102,102 - Kasabe Sukene ,"Zilla Parishad Marathi Boys School, West Building ,Room No.3 from South Side, Kasabe Sukene ","20°05'38.7""N 74°00'36.8""E"
103,103 - Kasabe Sukene ,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, East Side North-South Building, Room No.1 From North, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
104,104 - Kasabe Sukene ,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, East Side North-South Building, Room No.2 From North, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
105,105 - Kasabe Sukene ,"Zilla Parishad Marathi Boys School, Second West side Building, Room No.1 from South, Kasabe Sukene ","20°05'38.7""N 74°00'36.8""E"
106,106 - Kasabe Sukene ,"Zilla Parishad Marathi Boys School, Second West side Building, Room No.2 from South, Kasabe Sukene ","20°05'38.7""N 74°00'36.8""E"
107,107 - Kasabe Sukene ,"Zilla Parishad Primary School, North Building Room No.1 from East, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
108,108 - Kasabe Sukene ,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene,East side North-South Building, Room No.4 From North, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
109,109 - Kasabe Sukene ,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, West-East Building, Room No.1 From East Side, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
110,110 - Thergaon ,"Zilla Parishad Primary School, (Old Building), , Room No.2 from West, Thergaon ","
20°04'52.5""N 73°59'18.1""E"
111,111 - Jiwhale ,"Zilla Parishad Primary School, Room No.1 from West, Jiwhale ","20°05'05.0""N 73°58'48.7""E"
112,112 - Dixi ,"Zilla Parishad Primary School, South side Old Building) Room No.1 from East, Dixi ","20°05'19.9""N 73°57'53.3""E"
113,113 - Dixi ,"Zilla Parishad Primary School, West Side New Building Room No.2 from North, Dixi ","20°05'19.9""N 73°57'53.3""E"
114,114 - Ozar ,"Zilla Parishad Urdu Primary School, Ozar New Building Room No.1 From East Side, Ozar ","20°05'33.5""N 73°55'36.4""E"
115,115 - Ozar ,"Zilla Parishad Urdu Primary School, Ozar New Building Room No.2 From East Side, Ozar ","20°05'33.5""N 73°55'36.4""E"
116,116 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, West Side Building, Room No.3 from North, Ozar ","20°05'29.6""N 73°55'19.7""E"
117,117 - Ozar ,"Zilla Parishad Primary School, Bhadake Vasti, Room No.1 From South,Ozar ","20°06'02.2""N 73°56'08.3""E"
118,118 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.3 from West, Ozar ","20°05'29.6""N 73°55'19.7""E"
119,119 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.1 from East, Ozar ","20°05'29.6""N 73°55'19.7""E"
120,120 - Ozar ,"Zilla Parishad Primary School, Shejvalwadi East West Building, Room No.1 From West Side ,Ozar ","20°06'02.2""N 73°56'08.3""E"
121,121 - Ozar ,"Zilla Parishad Primary School, Shejvalwadi East West Building,Room No.3 From West, Ozar ","20°06'02.2""N 73°56'08.3""E"
122,122 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.2 from South, Ozar ","20°05'29.6""N 73°55'19.7""E"
123,123 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.5 from North, Ozar ","20°05'29.6""N 73°55'19.7""E"
124,124 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.4 from North, Ozar ","20°05'29.6""N 73°55'19.7""E"
125,125 - OzarOzar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.1 from West, Ozar Nashik, India","20°05'29.6""N 73°55'19.7""E"
126,126 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Centrol Building, Room No.1 From North Side, Ozar ","20°05'36.9""N 73°54'10.5""E"
127,127 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, West Side Building, Room No.1 From South, Ozar ","20°05'36.9""N 73°54'10.5""E"
128,128 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.3 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
129,129 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.5 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
130,130 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.1 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
131,131 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth west Side Building, Room No.1 From North,Ozar ","20°05'36.9""N 73°54'10.5""E"
132,132 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, West Side Building, Room No.2 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
133,133 - Ozar ,"New English School, West Side Building, Room No.2, from North, Ozar ","20°05'26.0""N 73°55'13.0""E"
134,134 - Ozar ,"New English School, Ozar North Side Building, Room No.2 From West Side, Ozar ","20°05'26.0""N 73°55'13.0""E"
