0,PS No & Name,Address,Lattitute & Logitude
135,135 - Ozar ,"New English School, Ozar North Side Building, Room No.3 From West Side, Ozar ","20°05'26.0""N 73°55'13.0""E"
136,136 - Ozar ,"New English School, East Side Building, Room No.1 from South, Ozar ","20°05'26.0""N 73°55'13.0""E"
137,137 - Ozar ,"New English School, Ozar South Side Building, Room No.3 Form West, Ozar ","20°05'26.0""N 73°55'13.0""E"
138,138 - Ozar (Banganganagar) ,"Zilla parishad Primary School, west Side Building, Room No.1, from North,  Ozar, Banganganagar ","20°04'39.2""N 73°57'52.0""E"
139,139 - Ozar ,"New English School Ozar, East Side Building, Room No.1 From North,  Ozar ","20°05'29.9""N 73°55'28.2""E"
140,140 - Ozar ,"New English School Ozar, South Side Building, Room No.2 From East,  Ozar ","20°05'29.9""N 73°55'28.2""E"
141,141 - Ozar ,"New English School Ozar, South Side Building, Room No.4 From East Side,  Ozar ","20°05'29.9""N 73°55'28.2""E"
142,142 - Ozar ,"New English School Ozar, East Side Building, Room No.3 From North Side,  Ozar ","20°05'29.9""N 73°55'28.2""E"
143,143 - Ozar Township ,"Zilla Parishad Primary School, Ozar Township East Side Centrol Building Room No.2 from East, Ozar Township ","20°05'46.0""N 73°55'40.3""E"
144,144 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, (Marathi Medium) East side Centrol Building, Room No.2 from East, OzarTownship ","20°06'09.2""N 73°55'43.7""E"
145,145 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, (Marathi Medium) West side Building, Room No.2 from East, OzarTownship ","20°06'09.2""N 73°55'43.7""E"
146,146 - Ozar Township ,"Zilla Parishad Primary School, Ozar Township No.2, West side Centrol Building, Room No.2 from West OzarTownship ","20°05'46.0""N 73°55'40.3""E"
147,147 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (English Medium) West Side Building, Room No.1 from West, OzarTownship ","20°06'09.2""N 73°55'43.7""E"
148,148 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, (English Medium) North Side Building, Room No.2 from East, OzarTownship ","20°06'01.7""N 73°55'41.7""E"
149,149 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (English Medium) North Side Building, Room No.2 from West, OzarTownship ","20°06'01.7""N 73°55'41.7""E"
150,150 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (Marathi Medium) South Side Building, Room No.2 from East OzarTownship ","20°06'01.7""N 73°55'41.7""E"
151,151 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (Marathi Medium) South Side Building, Room No.2 from West Ozar Township ","20°06'01.7""N 73°55'41.7""E"
152,152 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, & Jr. College (English Medium) East Side Building, Room No.1 from North Ozar Township ","20°06'05.7""N 73°55'45.7""E"
153,153 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, & Jr. College (English Medium) East Side Building No.2, Room No.1 from North Ozar Township ","20°06'05.7""N 73°55'45.7""E"
154,154 - Ozar Township ,"Gokhale Edu.Society, H.A.L.High School Jr. College (English Medium) East Side Building No2, Room No.2 From South Ozar Township ","20°06'05.7""N 73°55'45.7""E"
155,155 - Datyane ,"Zilla Parishad Primary School Room No.1, from East, Dattyane ","20°04'09.8""N 73°58'48.3""E"
156,156 - Datyane ,"Zilla Parishad Primary School Room No.2, from East, Dattyane ","20°04'09.8""N 73°58'48.3""E"
157,157 - Oney,"Zilla Parishad Primary School, Room No.1 From West Side, One ","20°04'36.7""N 73°59'44.5""E"
158,158 - Oney,"Zilla Parishad Primary School, Room No.5 From West Side, One ","20°04'36.7""N 73°59'44.5""E"
159,159 - Mauje Sukene ,"Zilla Parishad Primary School, South Side Building, Room No.2, from East, Mauje Sukene ","20°04'18.7""N 74°00'46.2""E"
160,160 - Mauje Sukene ,"Zilla Parishad Primary School, South Side Building, Room No.4, from East, Mauje Sukene ","20°04'18.7""N 74°00'46.2""E"
161,161 - Mauje Sukene ,"Zilla Parishad Primary School, West Side Building, Room No.3, from North, Mauje Sukene ","20°04'18.7""N 74°00'46.2""E"
162,162 - Pimplas ,"Zilla Parishad Primary School, East Side Building, No.2 Room No.2, from South, Pimplas ","20°04'05.0""N 74°02'30.0""E"
163,163 - Pimplas ,"Zilla Parishad Primary School, South Side Building No.2, Room No.4, from West, Pimplas ","20°04'05.0""N 74°02'30.0""E"
164,164 - Pimplas ,"Zilla Parishad Primary School, West Side Building No.3, Room No.3 from South Pimpals ","20°04'05.0""N 74°02'30.0""E"
165,165 - Pimplas (S.F.) ,"Zilla Parishad Primary School, South-North Side Building ,Room No.4 from South, Pimplas Sugar Factory ","20°04'09.0""N 74°02'34.0""E"
166,166 - Pimplas (S.F.) ,"Zilla Parishad Primary School, South-North Side Building ,Room No.5 from South, Pimplas Sugar Factory ","20°04'09.0""N 74°02'34.0""E"
167,167 - Pimplas (S.F.) ,"Zilla Parishad Primary School, South-North Side Building ,Room No.1 from North, Pimplas Sugar Factory ","20°04'09.0""N 74°02'34.0""E"
168,168 - Rasalpur ,"Zilla Parishad Primary Marathi School, Room No.2 from South, Rasalpur ","20°04'38.7""N 74°05'40.9""E"
169,169 - Niphad ,"Zilla Parishad Primary School No.1, Near Old Gov. Hospital, East-West Building, Room No.1 From East, Niphad ","20°04'50.8""N 74°06'25.4""E"
170,170 - Niphad ,"Zilla Parishad Primary School No.1, Near Old Gov. Hospital, East-West Building, Room No.4 From East, Niphad ","20°04'50.8""N 74°06'25.4""E"
171,171 - Niphad ,"Zilla Parishad Primary School No.1, Near Old Gov. Hospital,.South-North Building Room No.2 From South, Niphad ","20°04'50.8""N 74°06'25.4""E"
172,172 - Niphad ,"Zilla Parishad Primary School No.1,Near Old Gov. Hospital,South-North Building Room No.4 From South, Niphad ","20°04'50.8""N 74°06'25.4""E"
173,173 - Niphad ,"Vainteya Vidyalaya & Junior College, South -North Building Room No.3 From North, Niphad ","20°04'34.2""N 74°06'24.7""E"
174,174 - Niphad ,"Vainteya Vidyalaya & Junior Collage, South-north building, Room No.5 From North Side, Niphad ","20°04'34.2""N 74°06'24.7""E"
175,175 - Niphad ,"Vainaty Vidyalay & Jr.College, South-North Building Room No. 7 from North, Niphad ","20°04'34.2""N 74°06'24.7""E"
176,176 - Niphad ,"Vainteya Vidyalaya & Jr.College, South-North Building, Room No.8 from North, Niphad ","20°04'34.2""N 74°06'24.7""E"
177,177 - Niphad ,"Vainteya Vidyalaya & Jr.College/ Vainteya Pri.vidyamandir, South-North Building, Room No.1 from North, Niphad ","20°04'34.2""N 74°06'24.7""E"
178,178 - Niphad ,"Vainteya Vidyalaya & Jr.College/ Vainteya Pri.vidyamandir, South-North Building, Room No.4 from North, Niphad ,Nashik, India","20°04'34.2""N 74°06'24.7""E"
179,179 - Niphad ,"Niphad English School, East West ""L"" Building, Room No.2 from East, Niphad ","20°04'38.0""N 74°06'34.2""E"
180,180 - Niphad ,"Niphad English School, East West 'L' Building Room No.4 from East, Niphad ","20°04'38.0""N 74°06'34.2""E"
181,181 - Niphad ,"Saraswati Vidyalaya, North-South Building, Room No.3 From North Side, Niphad ","20°04'28.6""N 74°06'48.8""E"
182,182 - Niphad ,"Saraswati Vidyalaya, North-South Building, Room No.5 From North Side, Niphad ","20°04'28.6""N 74°06'48.8""E"
183,183 - Niphad ,"Saraswati Vidyalaya, North-South Building, Room No.7 From North Side, Niphad ","20°04'28.6""N 74°06'48.8""E"
184,184 - Niphad ,"Saraswati Vidyalaya, North-South Building, Room No.8 From North Side, Niphad ","20°04'28.6""N 74°06'48.8""E"
185,185 - Sonewadi Bk. ,"Zilla Parishad Semi English School, Sonewadi Bk., South-North Builidng, Room No.2 from North Side,  Sonewadi Khurd ","20°06'02.0""N 74°09'49.2""E"
186,186 - Sonewadi Bk. ,"Zilla Parishad Semi English School, Sonewadi Bk., South-North Builidng, Room No.7 from North Side,  Sonewadi Khurd ","20°06'02.0""N 74°09'49.2""E"
187,187 - Sonewadi Khurd ,"Zilla Parishad School, North South Building, Room No.2 from North  Sonewadi Khurd ","20°06'02.0""N 74°09'49.2""E"
188,188 - Shriramnagar ,"Zilla Parishad School, Room No. 1 from South, Shriramnagar ","20°05'29.1""N 74°08'42.5""E"
189,189 - Shriramnagar ,"Zilla Parishad School, Room No.3 from South, Shriramnagar ","20°05'29.1""N 74°08'42.5""E"
190,190 - Naitale ,"Zilla Parishad Primary School, New Building, Room No.2 from East, Naitale ","20°04'09.6""N 74°10'07.6""E"
191,191 - Naitale ,"Zilla Parishad Primary School, New Building, Room No.4 from East, Naitale ","20°04'09.6""N 74°10'07.6""E"
192,192 - Rampur (Naitale) ,"Zilla Parishad Primary School, North-South Building, Room No.1 from South, Rampur ","20°04'09.6""N 74°10'07.6""E"
193,193 - Rampur (Naitale),"Zilla Parishad Primary School, North-South Building, Room No.2 from South, Rampur ","20°04'09.6""N 74°10'07.6""E"
194,194 - Shiwre ,"V.N.Naik Madhyamik Vidyamandir & Jr.College, North Side Building Room No.2, from West, Shivare ","20°03'37.8""N 74°08'40.6""E"
195,195 - Shiwre ,"V.N.Naik Madhyamik Vidyamandir & Jr.College, North Side Building Room No.3, from West, Shivare ","20°03'37.8""N 74°08'40.6""E"
196,196 - Jalgaon ,"Zilla Parishad Primary School, 'L' Shaped New Building, Room No.1 from North, Jalgaon ","20°03'51.8""N 74°06'32.5""E"
197,197 - Jalgaon ,"Zilla Parishad Primary School, 'L' Shaped New Building, Room No.4 from North, Jalgaon ","20°03'51.8""N 74°06'32.5""E"
198,198 - Sundarpur ,"Zilla Parishad Primary School, Room No.1 from East, Sunderpur ","20°02'53.7""N 74°07'15.4""E"
199,199 - Kathargaon ,"Zilla Parishad Primary School, Main Building Room No.2 from South, Kathargaon ","20°02'18.7""N 74°06'56.1""E"
200,200 - Kathargaon ,"Zilla Parishad Primary School, Main Building, Room No.4 from South, Kathargaon ","20°02'18.7""N 74°06'56.1""E"
201,201 - Kathargaon ,"Zilla Parishad Primary School Room No.2, from North, Kurudgaon ","20°02'42.2""N 74°05'39.0""E"
202,202 - Kothure ,"Swatanravir Savarkar Madhyamik Vidyalay, North Side Building, Room No.1 from East, Kothure ","20°02'56.9""N 74°04'21.2""E"
203,203 - Kothure ,"Swatanravir Savarkar Madhyamik Vidyalay, North Side Building, Room No.3 from East, Kothure ","20°02'56.9""N 74°04'21.2""E"
204,204 - Kothure ,"Swatantraveer Savarkar Madhyamik Vidyalay, Kothure, South Side Building, Room No.1 from East Side, Kothure ","20°02'56.9""N 74°04'21.2""E"
205,205 - Kothure ,"Swatantraveer Savarkar Madhyamik Vidyalay, Kothure, South Side Building, Room No.3 from East Side, Kothure ","20°02'56.9""N 74°04'21.2""E"
206,206 - Gondegaon ,"Zilla Parishad Primary School, Room No.1 from West, Gondegaon ","20°02'31.9""N 74°01'49.7""E"
207,207 - Chandori ,"New English School, North Side Building, Room No.2, from West, Chandori ","20°01'38.6""N 73°59'49.6""E"
208,208 - Chandori ,"New English School, North Side Building, Room No.3 from West, Chandori ","20°01'38.6""N 73°59'49.6""E"
209,209 - Chandori ,"New English School, North Side Building, Room No.4 from West, Chandori ","20°01'38.6""N 73°59'49.6""E"
210,210 - Chandori ,"New English School, East Side Building, Room No.1, from North Chandori ","20°01'38.6""N 73°59'49.6""E"
211,211 - Chandori ,"New English School, East Side Building, Room No.2, from North Chandori ","20°01'38.6""N 73°59'49.6""E"
212,212 - Chandori ,"New English School, South Side Building, Room No.2, from East Chandori ","20°01'38.6""N 73°59'49.6""E"
213,213 - Chandori ,"New English School, South Side Building, Room No.3, from East Chandori ","20°01'38.6""N 73°59'49.6""E"
214,214 - Chandori ,"New English School, South Side Building, Room No.4, from East Chandori ","20°01'38.6""N 73°59'49.6""E"
215,215 - Nagapur ,"Zilla Parishad Primary School, Room No.1 from East, Nagapur ","20°00'15.1""N 73°59'00.6""E"
216,216 - Narayangaon ,"Zilla Parishad Primary School, West Side Building, Room No.1 from North, Narayangaon ","20°03'16.3""N 73°57'38.8""E"
217,217 - Narayangaon ,"Zilla Parishad Primary School,No.1, North Side Building, Room No.2 from West, Narayangaon ","20°03'16.3""N 73°57'38.8""E"
218,218 - Narayangaon ,"Zilla Parishad Primary School,No.2, East Side Building, Room No.2 North, Narayangaon ","20°03'16.3""N 73°57'38.8""E"
219,219 - Chitegaon ,"Zilla Parishad School, North Side Building, Room No.1 from East , Chittegaon ","20°01'53.9""N 73°57'17.1""E"
220,220 - Chitegaon ,"Zilla Parishad School, North Side Building, Room No.3 from East, Chittegaon ","20°01'53.9""N 73°57'17.1""E"
221,221 - Chitegaon ,"Zilla Parishad School, West Side Building, Room No.3 from North, Chittegaon ","20°01'53.9""N 73°57'17.1""E"
222,222 - Saikheda ,"Janata English School, Saikheda, East-West Building No.2 From North Side, Room No.1 From West Side, Saikheda ","20°00'47.0""N 74°00'51.2""E"
223,223 - Saikheda ,"Janata English School, Saikheda, East-West Building No.2 From North Side, Room No.5 From West Side, Saikheda ","20°00'47.0""N 74°00'51.2""E"
224,224 - Saikheda ,"Janata English School, Saikheda, North-South Building No.3 From East Side, Room No.4 From North Side, Saikheda ","20°00'47.0""N 74°00'51.2""E"
225,225 - Saikheda ,"Janata English School, Saikheda, North-South Building No.3 From East Side, Room No.6 From North Side, Saikheda ","20°00'47.0""N 74°00'51.2""E"
226,226 - Shingve ,"Zilla Parishad Primary School, South Side Buliding,Room No.3 from East, Shingave ","20°01'58.1""N 74°02'10.6""E"
227,227 - Shingve ,"Zilla Parishad Pirmary School, West Side Building Room No.1,from South Shingave ","20°01'58.1""N 74°02'10.6""E"
228,228 - Shingve ,"Zilla Parishad Pirmary School, West Side Building Room No.3 from South Shingave ","20°01'58.1""N 74°02'10.6""E"
229,229 - Shingve ,"Zilla Parishad Pirmary School, North Side Building , Room No.2 from East Shingave ","20°01'58.1""N 74°02'10.6""E"
230,230 - Karanjgaon ,"Janta Vidyalay, East Side Building, Room No.3 from North, Karanjgaon ","20°00'44.5""N 74°04'23.9""E"
231,231 - Karanjgaon ,"Janta Vidyalay, South Side Building, Room No.2 from West, Karanjgaon ","20°00'44.5""N 74°04'23.9""E"
232,232 - Karanjgaon ,"Janata Vidyalaya, West Side Building, Room No.2 From North Side Karanjgaon ","20°00'44.5""N 74°04'23.9""E"
233,233 - Karanjgaon ,"Janata Vidyalaya, North Side Building, Room No.2 From West Side Karanjgaon ","20°00'44.5""N 74°04'23.9""E"
234,234 - Chapadgaon ,"Zilla Parishad School, Room No.2 from West, Chapadgaon ","20°00'44.4""N 74°05'19.1""E"
235,235 - Chapadgaon ,"Zilla Parishad School, Room No.4 from West, Chapadgaon ","20°00'44.4""N 74°05'19.1""E"
236,236 - Manjargaon ,"Arudh Jr.College, South Side Building Room No.4 from East, Manjargaon ","19°59'51.8""N 74°07'12.5""E"
237,237 - Khangaon Thadi ,"Zilla Parishad Primary School, North Building, Room No.1 from East, Khangaonthadi ","20°00'29.5""N 74°08'09.0""E"
238,238 - Bhuse ,"Zilla Parishad semi english School, Room No.1 from East, Bhuse ","20°00'00.6""N 74°05'37.5""E"
239,239 - Bhuse ,"Zilla Parishad semi english School, Room No.3 from East, Bhuse ","20°00'00.6""N 74°05'37.5""E"
240,240 - Songaon ,"Zilla Parishad Marathi Boys School, Room No.1 from South, Songaon ","19°59'35.7""N 74°00'56.5""E"
241,241 - Songaon ,"Zilla Parishad Marathi Boys School, Room No.2 from South, Songaon ","19°59'35.7""N 74°00'56.5""E"
242,242 - Songaon ,"Zilla Parishad Marathi Boys School, Room No.3 from North, Songaon ","19°59'35.7""N 74°00'56.5""E"
243,243 - Varhedarna ,"Zilla Parishad Marathi Boys School, Room No.1, from North, Varhedarana ","20°00'21.8""N 73°57'14.1""E"
244,244 - Chehadi Kh. ,"Zilla Parishad Pri. School, Sarva Shiksha Abhiyan Building, Room No.1 from East, Chehadi Kh. ","20°00'03.8""N 73°56'10.4""E"
245,245 - Lalpadi ,"Zilla Parishad School, Room No.1, from East, Lalpadi ","19°59'18.8""N 73°56'48.9""E"
246,246 - Darnasangvi ,"Zilla Parishad Primary School, Room no.2 From South, Daranasangavi ","19°58'37.1""N 73°57'09.0""E"
247,247 - Shimpi Takli ,"Zilla Parishad Primary School, Sarv Shiksha Abhiyan Antargat Room No.1, from East, Shimpitakali ","19°59'36.2""N 73°58'38.4""E"
248,248 - Chatori ,"Janata Vidhyalaya, Chatori, Room No.3 from East Side.Chatori ","19°59'48.1""N 73°59'42.1""E"
249,249 - Chatori ,"Janata Vidhyalaya, Chatori, Room No.4 from East Side.Chatori ","19°59'48.1""N 73°59'42.1""E"
250,250 - Chatori ,"Janata Vidyalay Chatori, Room No.4 From West Side,Chatori ","19°59'48.1""N 73°59'42.1""E"
251,251 - Sawali ,"Zilla Parishad Primary School, North Side Room1, Sawali ","19°57'56.4""N 73°58'53.8""E"
252,252 - Chatori ,"Janta Vidyalay, West Side, Room No.1, Chatori ","19°59'48.1""N 73°59'42.1""E"
253,253 - Ramnagar ,"Zilla Parishad School, Room No.1, from East, Ramnagar ","19°58'23.8""N 74°00'52.8""E"
254,254 - Ramnagar ,"Zilla Parishad School, Room No.3, from East Ramnagar ","19°58'23.8""N 74°00'52.8""E"
255,255 - Bhendali ,"Zilla Parishad School, South Building, Room No.2 from East, Bhendali ","19°58'22.1""N 74°03'41.0""E"
256,256 - Bhendali ,"Zilla Parishad School, South Building, Room No.5 from East, Bhendali ","19°58'22.1""N 74°03'41.0""E"
257,257 - Aurangpur ,"Zilla Parishad Primary School, South-North Building, Room No.2 From South, Aurangpur ","19°58'14.5""N 74°03'49.6""E"
258,258 - Aurangpur ,"Zilla Parishad Primary School, South-North Building, Room No.7 From South, Aurangpur ","19°58'14.5""N 74°03'49.6""E"
259,259 - Shrirampur ,"Zilla Parishad Primary School, Room No.2 From South Shrirampur ","19°59'15.8""N 74°05'52.1""E"
260,260 - Mhalsakore ,"Zilla Parishad School, South - North Building Room No.1, from South, Mhalsakore ","19°59'15.8""N 74°07'02.6""E"
261,261 - Mhalsakore ,"Zilla Parishad School, South North Buidling Room No.2 from North, Mhalsakore ","19°59'15.8""N 74°07'02.6""E"
262,262 - Mhalsakore ,"Zilla Parishad School, South North Buidling Room No.1 from North, Mhalsakore ","19°59'15.8""N 74°07'02.6""E"
263,263 - Tarukhedle ,"Zilla Parishad Primary School, Room No.2 From West Side Tarukhedle ","19°59'15.8""N 74°09'06.6""E"
264,264 - Tarukhedle ,"Zilla Parishad Primary School, Room No.3 From West Side Tarukhedle ","19°59'15.8""N 74°09'06.6""E"
265,265 - Tamaswadi ,"Zilla Parishad Primary School, East West Building, Room No.3, from West Tamasawadi ","19°59'07.2""N 74°10'04.3""E"
266,266 - Tamaswadi ,"Zilla Parishad Primary School, East West Building Room No.5 from West, Tamasawadi ","19°59'07.2""N 74°10'04.3""E"
267,267 - Karanji Khurd ,"Zilla Parishad Primary School, New Building Room No.1 from North, Karanji Khurd ","19°58'41.3""N 74°11'49.0""E"
268,268 - Bramhanwade ,"Zilla Parishad Primary School, Room No.2 from east Bramhanwade ","19°57'51.7""N 74°12'42.2""E"
269,269 - Mahajanpur ,"Zilla Parishad Primary School, North-South Building, Room No.3 from North, Mahajanpur ","19°57'51.8""N 74°02'59.3""E"
270,270 - Pimpalgaon Nipani ,"Zilla Parishad Primary School, New Building, Room No.2 from South, Pimpalgaon Nipani ","19°56'57.0""N 74°00'32.3""E"
271,271 - Pimpalgaon Nipani ,"Zilla Parishad Primary School, New Building, Room No.3 from North, Pimpalgaon Nipani ","19°56'57.0""N 74°00'32.3""E"
272,272 - Talwade ,"Zilla Parishad Marathi Boys School, South Building, Room No.1 from East, Talwade ","19°57'13.5""N 74°01'51.7""E"
